yıldız,yorum,etiket
5,195 boy 106 kilo 3xl aldım erkek arkadaşıma. Göbeği olduğu için normalde 2xl giymesine rağmen dar olmasın diye. Göbeği çok güzel sakladı. Üstünde hiç sırıtmadı ve gerçekten çok yakıştı.,normal
4,ürün güzel şık bı görünüşü var tek kusuru üründe kalite kontrolü yapılmamış bazı dikiş yerlerinde ipi kesmeleri yapılmamış,normal
4,"Abim için aldık, hafif parlak bir kumaşı var. Abim sevdi",normal
5,Ürün güzel yalnız bana küçük geldi ve sıktı 1.74 boy 78-80 kg L beden küçük geldi sıktı göbeğimi kapatmadı düğme iade edip bi büyüğünü söyleyeceğim,normal
3,yaka kısmının dik durması için konulan küçük parçası yoktu yakanın ucuna konulan düzgün dursun diye konulan parçalar bir gömlek parasıda terzi istedi parlaklığı iyi,normal
5,hafif parlak bir yapısı var ancak kumas kalitesi iyi asla naylon degil kalıp olarak tamdır,normal
5,gömlek kalitesi harika tam bedeniniz alabilirsiniz bol olsun deraeniz 1 benden büyük alın,normal
3,idare eder polyester karışımı çok fazla fiyatına göre iyi,normal
5,Erkek arkadaşıma aldım çok güzel oldu ve severek giyiyor. Tam beden alabilirsiniz. 55-58 kg arasında xs tam oldu,normal
4,biraz hafif dar ama kalite o kadar iyi değil laylon gibi anımsatıyor,normal
3,kumaş kalitesi biraz düşük sanki eskimiş gibi bir görüntüsü var,normal
5,Fiyatı gayet uygundu rengini çok beğendim erkek arkadaşım için aldım umarım bedeni denk gelir L beden aldım 1.93 boyunda 75 kilo ztn slim fit overise değil modeli öyle olduğu için olucağını düşünüyorum,normal
2,dikişleri kesinlikle güzel değil bir tane alıp beğenmiştik ama daha sonrasında sipariş verdiklerimizde dikiş hataları var,normal
5,Kumaşı parlak esneme yapıyor oldukça şık,normal
5,Cok iyi geldi esimin kilosu 73 L beden aldim tam oldu,normal
5,178 86 Kilo L aldım. Tam oldu 2 kilo alsam olmaz ona göre alırken dikkate alırsınız,normal
5,Hem takım elbiseye göre hemde gündelik giymek isterseniz uygun baya beğendim elinize sağlık,normal
5,Güzel ürün 72 kilo 1.78 im L beden iyi geldi,normal
3,"Eşim 187, 120 kg 3xl olmadi.",normal
1,çok inceydi fermuar kısmı hiç gözüktüğü gibi gelmedi,normal
4,s beden aldım güzel ama göründüğü gibi kalın değil ve biraz uzun geldi bana ama beğendim,normal
2,Görseldeki gibi değil . Dikişi kötü. Ufak lekeleri var . Rengi de öyle canlı değil maalesef .,normal
4,salaş istiyorsanız kendi bedeninizden bir beden büyük almanızı öneririm onun dışında gayet iyi,normal
3,tam göründüğü gibi değil ama idare eder m giyerim normalde s olmasına rağmen m gibi,normal
4,Ürün gayet iyi birkaç gün giyip denedim direkt gördüğümde bir değerlendirme yapmak istemediğimden... S beden almıştım güzel oldu sadece normale göre biraz uzun kalıyor,normal
1,"Ürünün etiketi kesik, boyun kısımımda da dikiş hatası var ayrıca paketleme de özensiz. İade",normal
5,ürün güzel ama görseldeki gibi durmasını istiyorsanız bi beden büyük alın,normal
2,görselde ki gibi geldi bı beden büyük alınabilir boyun kısmındaki fermuar gorseldeki gibi değil onun dışında iyi,normal
5,güzel bayağı fakat çok büyük 67 kiloyum m daha iyi olurmuş normalde l giyerim xl söyledik dar olmasın diye ama çok büyük oldu oğluma verdim,normal
3,omuzlar çok değişik durdu dikş yerleri havafa kalıyor,normal
4,"Ürün fiyatına göre gayet iyi. Mavi rengini aldım, ancak görseldekine göre biraz daha canlı olsaydı mükemmel olurdu. Beden olarak 155 cm boy, 65 kg için S beden tam oldu.(Bol degil)",normal
5,1.90 boy 93 kg’yim tam oldu. Hafif bol olsun diyen boydaşlarım bir beden bol alabilir,normal
5,Yani kışın soğuk havalarda sıcacık tutanacak bir ürün diye düşünüyorum içi Pamuklu dışı kumaş kalın.,normal
4,yikaninca hafif cekiyor,normal
4,Çok iyi ama iç tarafı tüy döküyor,normal
5,Boy 183 kg78 ben xl aldım biraz geniş sevenler için iyi L tam olurdu,normal
2,"Aman dikkat ürün boya veriyor, diğer çamaşırlarla yıkama yapmayın",normal
5,"İçi şardonlu güzel bir ürün. Eşime ve kendime birer tane aldım. Eşim (erkek)168 boy 85 kg L beden tam oldu. Ben 165 boy 75 kg L beden, istediğim gibi hafif bol oldu.",normal
3,ürün genel olarak güzel tam kış ürünü ama görselde göründüğü gibi hem bel hem kol şardon'u çok bol ürün kalitesine hiç yakışmadı,normal
5,"rengine bayıldımmm, xl beden sipariş ettim hem yeşil hem mavi, yeşil küçük oldu mavi tam oldu",normal
3,soft bir model kazak diye düşünmüştüm,normal
5,"Çok kalite duruyor. Sadece 1 kez giyindim, gayet sıcak tutuyor. Ben 175 sm/68 kg, S beden aldim, salaş kaldı. XS alsaydım daha fit otururdu sanırım.",normal
5,kumaşı güzel 185 boy 78 kg xl aldim güzel durdu hafif salaş durdu tam ideal 1 beden büyük alınabilir,normal
4,Beden tamam fakat kol kısmı erkek arkadaşıma kısa oldu duruşu rengi güzel şardonlu sıcak tutuyor,normal
3,gri ve vizon rengi daha güzeldi bunun rengi çok güzel ama içinin pamuğu dökülüyor,normal
4,görseldeki gibi geldi renginde parçalarda sıkıntı yok ama çok ince kumaşı yıkadım daha bir hafta olmadan çarşafı tiftiklendi oğluma almıştım o evlenene kadar kullanır zaten fazla dayanmaz hayal kırıklığı,normal
5,3 ürün arasında en iyi çıkan Ürün fiyatına göre çok güzel oğlum için almıştım kumaşı kalın parlak kullanışlı ebatların belirtildiği gibi,normal
3,Yani 7 ay ancak kullanılabilir. Belki daha kısa. Makineye atınca tiftik topladı bir kaç yerde.,normal
3,Ürün kumaşını daha farklı beklemiştim bekletimin altında kaldı.Çok naylon gibi.,normal
3,Ürün fiyat performans ürünü. Tavsiye olunur,normal
5,Henüz yıkamadım o yüzden fotoğrafsız yorum atıyorum 1. Kalite beklemiyorum elbette teknede kullanacağım için renk daha önemliydi açıkçası ama siyah tarafının rengine netliğine bayıldım yıkayınca göreceğiz teşekkürler,normal
3,Çok da pamuklu değil karışımlı kumaş orta kalite,normal
3,Ürünün kumaşını çok beğenmedim boyutu lastikli çarşafı güzel,normal
5,urun bekledigimden guzel geldi kumas kaliteside guzel fiyatta uygun,normal
3,Renginden dolayı almıştım güzel de fakat kumaşı fazla sert pamuklu bira yanı yok,normal
3,Yıkadıktan sonra renginde açılma olmadı ama çarşafı çift kişilik yatak için küçük geldi yinede bu fiyata gayet iyi,normal
5,kalite olarak fiyat performans ürünü dikiş yerleri kötü sadece ama kullanılabilir,normal
5,çarşafı biraz tüylenen cinsten ama indirimden aldm idare eder,normal
5,Ürün beklediğim gibi geldi sadece yastık kılıfları fermuarlı olabilirdi tavsiye geri kalan herşey harika,normal
3,Kumaşı çok naylon terletecek bir kumaş,normal
3,Ürün çok fazla terletiyor bilginiz olsun ama kalite olarak güzel,normal
4,"tertemiz paketlenmiş şekilde geldi, çarşafı lastikli, yastıkları ve nevresimi kumaş olarak gayet güzel, kaygan değil, pamukluya benzer, henüz yıkamadım yıkayıp güncellerim yorumu, şu an gayet hoş izlenimim",normal
2,Hemen tüylendi ve çok toz topluyor,normal
3,yani fiyat performans olabilir görüntü olarak güzel ama aşırı aşırı kaliteli bişey beklemeyin yedek kullanılır,normal
2,"ya güzel kıvırtıyo ama saçta bı koku birakiyo , zaten ısıyı ayarlayamiyorsunuz . tek bir ısısı var . pek kullanmıyorum anliyacaginiz .",normal
5,"tam fiyat performans ürünü. hızlı, sağlam ve sorunsuz kargolandı. az evvel denedim, ürünün çalışmasında da herhangi bir sorun yok. her gün saç yapan biri değilseniz bu ürünü kullanabilirsiniz. sık sık saç kıvırtmak için çok iyi bir ürün olmayabilir. daha prosefyonel tercih edebilirsiniz. ama benim için harika gerçekten.",normal
5,Çok iyi yaaa hem hızlı ısınıyor hemde çok iyi dalga yapıyor,normal
5,Saat şu an 15.15 ben sabah 9 da yaptım bu maşayı ve sprey vs kullanmadım aprillanın düzleştiricisini de kullanıyorum içiniz alırken rahat olsun sadece çok uzun saçları sarmakta zorlanabilirsiniz 25 mm olduğu için ama harici çabuk ısınıyor ve kalıcı,normal
3,Benim saçımda tutmadı malesef,normal
4,paketleme güzeldi hızlı geldi. ilk başta açılmadı ışığı yanmadı ama bir iki saat sonra tekrar denediğimde açıldı çok çabuk ısındı kullanışlı güzel tavsiye ederim,normal
5,gerçekten de söyledikleri gibi açtığım gibi ısındı ve hemen şskil veriyor ve bende kokuda bırakmadi çok tutmama rağmen hemen şekil verdi ben çok beğendim tavsiye ediyorumm,normal
4,Beğendim hızlı ısınıyor su dalgası gibi yapıyor ben seviyorum,normal
3,normal 25 mm kullandığım maşadan daha ince onun yerine 30 mm alın hızlı ısınıyor ve iyi sadece koblası çok dolaşiyor,normal
3,Saçta günlerce geçmeyen yanık kokusu borakıyor maalesef,normal
3,Sıcaklığı zayıf fiyatından belliydi zaten çok da iş görmeyeceği.,normal
5,Beklediğimden daha güzel geldi. Anında ısınıyor ve şekil veriyor iyi ki almışım,normal
1,2. Kullanışımda patladı maalesef . İade sürem geçtiği için de iade edemedim ürün çöp oldu,normal
5,Ürün gayet güzel ve yeterli saç yaparken iş görüyor sadece sıcaklık kademesi yok,normal
3,Güzel ama yıpranmış ise biraz saçlarınız kullanırken sorun ısı koruyucu kullanmanız gerekir duman çıkıyor saçtan,normal
5,Ürünü begendim buklelerim çok güzel oldu heman ısınyo bu fiyata güzel butun gunde durdu saç sabitleme spreyde geçdim ustunden baya guzel durdu,normal
5,O kadar hızlı ısınıyor o kadar güzle şekil alıyo ki kolay kolay bozulmuyor gerçekten fiyat performans ürünü kuaföre bile gitmeye gerek yok,normal
5,fiyatının uygunluğu ve saçlarda mükemmel etkisi ile fiyat performansı bir ürün severek kullanıyorum dalgalar hemen bozulmuyor ve uzun süre güzel bir görünüm sağlıyor,normal
1,ikinci kullanımda yandı üstelik sarteli attırdı bir saat uğraştım bu kadar kalitesiz bir ürün daha görmedim almayın bence,normal
4,ürün iyi ama boyu uzun olanlar için olmaz 160 olmama rağmen kısa oldu ama kaliteli,normal
3,Medium beden olmasına rağmen çok küçük ve beğenmedim,normal
5,muhteşem bi etek resimdekinin aynısı geldi ve kumaşı çok kaliteli bu fiyata bu ürün çok güzel 1.55 boy 50 kilo s beden aldım,normal
3,Kumaşı çok kaliteli değil ama giyilir yazın kışın çok ince kalır ama güzel kalıbı bol geliyor,normal
2,Ürün iç gösteriyor ve çok ince kışlık değil,normal
4,80 kiloya 3xl basenden bile geçmedi kalıplar yanlışı,normal
1,İncecik kumaş . Kalite açısından oldukça zayıf . Tavsiye etmiyorum,normal
5,Etek vücuduma tam oturuyor sadece kalçadan geçirirken bel kısmı zor geçiyor 54 kilo 162 boyum,normal
5,Bel kısmı hafif kalçadan zorladı M beden aldım 59 kilo,normal
3,Kesinlikle bir değil en az iki beden büyük alın fiyatına göre bir ürün ortalama,normal
1,Kumaş çok basit duruyo iade ettim görselle alakasız buldum özellikle eteği,normal
3,Çok ince. İç gösteriyor aynı zaman da,normal
4,Çok güzel etek ben normalde XS giyiyorum yine aynı bedeni aldım ama kalçadan zar zor geçti belde ise tam oturdu tuhaf bi dikişi var anlamadım ama çok güzel etek,normal
4,kalça kısmı çok dar bi beden büyük almanızı tavsiye ederim bilek boyu kısa onun dışında güzel,normal
5,Çok iyi kumaşı ama biraz eteği kayık dikişleri,normal
5,biraz kumaşı kırışıyor zor açılıyor ama çok güzel yinede,normal
2,Kalite idare eder büyük oldu iade ettim ince bir kumaş kiloyu öne çıkarıyor,normal
5,Ürünü tek sefer kullanımda bile fark etti ben klozetteki sarı su lekeleri için kullandım tek seferde ovalayarak çıktı çok memnun kaldım,normal
5,Kireç ve sabun artıklarının yapıştığı duşa kabini ovmadan sadece suyla yıkayarak temizleyen gerçekten iyi bir ürün,normal
3,Ürün performansı güzel ama kullanabilene feci ağır kokuyor çok rahatsız edici bu performansta daha kokusuz ürünler var bir daha almam,normal
4,"Düzenli yaptığım zaman gerçekten kıllar çok azalıyor neredeyse hiç çıkmıyor ama bir kaç aydır atış yapmayı bıraktım ve tekrardan kıllar çoğaldı hızlı uzamaya başladı öncesinde lazer geçmişimde vardı, yani sürekli atış yaparsam çok iyi ama uzun süre bırakınca kahrolası kıllar geri geliyor",normal
5,tüyleri güzel alıyor.,normal
1,Şarjını doldurup yerine koyuyorum kullanmak için elime aldığımda şarjı bitmiş durumda oluyo kullanamiyorum sürekli dolduruyorum kullanmadan şarjı bitiyor.,normal
3,far çok küçük resimdekiler de bulunan bazı ürünler farklı geldi bu fiyata normal,normal
1,rujlar makyaj bakyaj bazi farki geldi ayni degil,normal
3,ürünler güzel beğendim ama içinden üçlü ustura çıkmadı onun için puan kırdım,normal
5,herhangi bir alerji yapmadı korkarak almistim,normal
4,bir kaç değişiklik yapılmış ustura yerine makas konulmuş görselde likit kalem gözüküyor farklı yollamışlar onun dışında iyi,normal
1,ürünler idare ederdi ama fondeten çok kötüydü kapağı açık bir şekilde geldi ve ürünler eksik geldi,normal
5,gayet güzel ve uyguna bir makyaj çantanız oluyor birtek rimelin beğenmedim yapış yapış ve suya hiç dayanıklı değil akıyor kirpikleri uzatıyor tek tek ayirmiyor,normal
2,Eksik malzeme geliyor almayın,normal
3,İlk kez makyaja başlıyacak kardeşim için aldım güzel ürünler vardı ama tam olaral fotoğraftakiler gelmiyor yinede iyiydi,normal
5,çok güzel sadece kordon kismi büyük geldi saatcide küçültcem,normal
1,hiç beğenmedim bir kere yere düştüğünde bu halde ve içi hep paslaniyo,normal
4,Benim bileğim ince olduğu için bol geldi ama güzel rengi falan da güzeldi,normal
5,urun gercekten guzel ve kaliteli velakin kordonu gereksiz uzun asla kadin bilegi icin uygun uzunlukta degil saatciye gidip ya kisaltma yapilmali yada kendi imkanlariniz ile youtubeden izleyip kisaltmalisiniz 🥹,normal
3,Aldıktan bi süre sonra pembe taşları düştü ve rengi soldu 4-5 kez kullandım sadece daha sonra da kullanmak istedim fakat kaşıntı yapıyor ciltle ilgili de olabilir,normal
1,"gelen ses ve giden ses problemli ses net değil ve kesiliyor bazen., dokunmatigi sorunlu, yeniden başlatınca güncelleme falan yapıyor",normal
4,Anneme aldık ama ilk açıldığından beri kasıyor daha anneme vermedim ama kasma onda da devam ederse garantiye gider,normal
4,fiyatına göre iyi gibi idare eder ara sıra kasma yapıyor ama onun dışında iş görüyor,normal
5,sesi az çıkıyor ama iş görür,normal
5,"Şu an iyi, birkaç saat önce geldi. Çok kısa sürede şarj oldu. Kurulumunu yaptım. Sadece kordonlarını takmakta zorlandım",normal
2,kulaklık cidden iyi sesi falan güzel ama saat biraz sorun var saati yanlış gösteriyor ayrıca bağlanmak çok zor,normal
1,kulaklık sürekli cızırtı yapıyor arama sırasında hiç tavsiye etmiyorum,normal
3,Ürünüm geldi yorumlara göre aldım ama kulaklık çok kötü karşı taraf anlamıyor sürekli hışıltılı sesler geliyor diyor kulaklığı şarja koyuyorum hep kırmızı ışık yanıyor saatlerce tuttum rengi değişmedi saati sarj ettim kullanmadım yarım gün gitmedi bile sarjı bitti bu yüzden iadesini istiyorum,normal
3,Saat güzel yalnız şarj cihazına oturmuyor bir lastik yardımı ile şarj ediyorum.İade etmek ile uğraşmadım fiyat malum.Fiyat performans ürünü sonuçta,normal
5,Ürünüm çok güzel geldi bayağı hava kabarcıklı naylonlara sarılmış bir şekildeydi ben kendim açtım paketini hiç açılmamıştı çok memnun kaldım,normal
4,Ürün sorunsuz elime ulaştı ben kalitesini ve kullanışlılığını çok beğendim bence tam bir öğrenci tableti. Özellikle video izlerken not çıkarmayı seviyorsanız sizde ürünü kullanışlı bulursunuz. Sadece bir yıldızı kırma nedenim kargoyu çok sağlam paketlememişlerdi ve biraz geç geldi. Onun harici 10/10’luk.,normal
5,Derslerimde not almak için aldım üniversite öğrencisiyim gayet yeterli geldi bana boyutu da ideal orijinal ürün 👍,normal
1,3 ay olmadan sensör hatası veriyor sürekli harita kendinden kayıyor komut vermediğim odalara gidiyor pişman oldum yazık günah verdiğim paraya,normal
5,çok memnunum ama hergün kullanmak gerekir 3 gün süpürmezseniz evi temizlik dört dörtlük yapamıyor yani ev çok kirli olmasın,normal
3,Ürün halıya geldiğinde paspasları kaldırmıyor sadece suyu kesiyor ayrıca uygulaması çok kötü karışık işaretliyorum işaretlediğim odaya gitmiyor iki gündür belli odaları temizliyor diğer odalara girmiyor birde ek olarak belirtmek isterim ürüne 3 cmye kadar eşikten atlar demişler ama asla atlamıyor atlamadığı içinde odayı görmeden geri dönüyordu kurulumda çok zorlandım eşikleri kırdık o şekilde düz olunca geçti,normal
5,"guzel bir makine, coklu haritalama ozelligi guzel. cekim gucu guzel. begendik.",normal
5,Gerçekten mükemmel bir ürün biz genç bile kalmışız evi tertemiz yapıyor. ayrıca mop temizleme özelliği de çok başarılı dönerek temizleme yapıyor.,normal
4,"Ürün çok hızlı ve korunaklı şekilde geldi, süpürülmüş evden çıkan toza inanamadık. En güçlüde çalıştırınca sesli oluyor ancak sessiz ve orta seviye güçlü çekimleri de var. Halı püsküllerine takıldığı için püsküllere bir çözüm şart.",normal
4,Paspas telleri bi süre sonra yapışkanlısını kaybediyor onun dışında gayet iyi,normal
4,biraz sesli çalışıyor nedeni nedir yoksa makine iyi ama şu sesli olmasa daha iyi olur ürün elime çok hızlı geldi,normal
5,Şimdi kurdum çok ön yargılıydım ama beni utandırdı sanırım beyaz fırtına ile çok iyi anlaşacağız 😂çok pratik ve gerçekten mikro temizlik yapıyor. Şimdi beyaz fırtına çalışacak ben oyurup çay içeceğim almayan pişman olur siparişim çok hızlı ve sorunsuz geldi,normal
5,İlk defa kullanıyorum çekiş gücü ve sessizliğide ayarlanıyor mop özelliğini çok sevdim halı tanıma yapıp kaldırıyor,normal
5,ürünü aldım baya oldu allalı ama türkçe dil desteği yok evin içinde kendi kendine konusp duruyo. bazen evi tanımıyo paspasları haliya değdiryo fwşan fiyan,normal
5,çok dip köşe temizleniyor ama günlük kullanım için ideal hatta çok iyi ya silip supurmesi harikaaaaaa,normal
5,elim ayağım. pili bitmiyor 5 odalı evimi tek seferde süpürüyor. haritası karışıyor diye 2 harita yaptım sorun kalmadı.,normal
5,Aldıktan yaklaşık 2 hafta sonra kutusunu açtım. Paketleme yeterliydi. Kurması kolaydı . Uygulaması ile uzaktan yönetebilmek çok işinizi kolaylaştırıyor. Zaten ürün için söylenecek şey her eve lazım olduğu. Hayatınızı kolaylaştırın,normal
5,"Harika bir robot. Emiş gücü güçlü, mopları da güzel. Sensörleri de gördüğüm robotlara göre çok daha iyi haritada belli olan yerlere hiç çarpmıyor, normalde orada olmayan nesnelere de robot çok hızlı değilse çarpmıyor.",normal
5,Alalı neredeyse 1 ay oldu çok memnunum ablamda mi vacuum mop pro 2 var onunla karşılatırıldığında harika özellikle mopların dönerek silmesi detayı mutfakta çok işe yarıyor. Fayanslardaki çıkmayan kurumuş lekeler olunca önce süpürtül sildirip sonra tekrar 1 kere daha sildiriyorum. Uygulama üzeriden temizlik günlerini ve saaatini ayarlayıp kullanıyorum bunun haricinde ekstra ihtiyaç olması halinde uygulamadan komut verdirerek kullanıyorum. Çekim gücünü standartta kullanıyorum gayet yeterli oluyor halıyı algılayınca mopları kaldırıp durduruyor. ancak halıların kenarlarını silerken sıfıra sıfır silemiyor ancak bu bile gayet yeterli,normal
5,1 yıldır sorunsuz kullanıyorum kaliteli güzel işlev görüyor halı tanıyor paspaslariyla güzel siliyor uzun ara verildiğinde sadece yeniden bi harita yapılması daha iyi temizlemesini sağlıyor onun dışında iyi,normal
4,fazla ısınıyor onun dışında sorun göremedim bide çevirme gücünü kademeli olarak ayarlayabilsek güzel olur,normal
4,Ürünüm elime geçti çok beğendim sadeçe içine doğrama haznesi biraz küçükgeldi oda sıkıntı degil kalitesi iyiymiş beğendim.,normal
4,Haznesi biraz daha büyük olabilirdi. onun dışında beğendik.,normal
3,bıçakları çok aşağıda olduğu için soğanı un ufak ediyor suyunu çıkartıyor. 4 e bölüp attığın soğanın alttaolanı kesiliyor üstteki alta inene kadar alttaki resimdeun ufak oluyor.,normal
3,"motoru çabuk ısınıyor, yıkayınca blender ve cirpicinin içinde su kalıyor idare eder bir ürün. kaliteli değil",normal
4,eksiksiz bir şekilde gorseldeki gibi geldi. denedik gayet güzel çalışıyor. sadece kablosu biraz kısa o belki sorun yaratabilir. onun dışında hepsi çok güzel.,normal
5,"Her işimi goruyor kiyma cekiyor,ceviz cekiyor, vs vs daha ne olsun",normal
1,dememek için mercimeği önce yumusasin diye kaynattim sonra denedim kırmızı düğmesi ısındı içinden dumanlar çıktı bıcak dönmüyordu sayılır çok kotü coookkk kötü,normal
5,gerçekten kullanınca daha etkili oluyo boyadan yıpranmış saçlarım eski hâline döndü yumuşacık parlak ve daha dolgun oldu,normal
5,Daha öncede kullanmışlığımız oldu. gayet başarılı bir içeriğe sahip. Saçları parlak ve yumuşak bir hale getiriyor. Gayet memnunum.,normal
3,kokusu güzel ama saçlarım aşırı yipranmis olduğundan vaow diyeceğim bir değişiklik olmadı,normal
5,3 tane satın almıştım birinin üst kısmında ufak bir çatlak var oradan sızıyor. kokusu ve ağırlaştırmaması çok güzel ağırdı kokusu yok guzelll,normal
5,Gerçekten çok guzel.Bir aydır kullanıyorum.Açıcıdan yıpranmış saçlarımı çok iyi toparladı.Üstelik hiç yağlandırmıyor.🫶,normal
5,Güzel bir ürün kalın telli saçlar için bence birebir ben ince telli saça sahip olduğum için benim saç tipime uygun değildi,normal
5,Güzel begendim banyo sonrasi nemli saca sürüyorum yumusacik yapiyor,normal
3,kokusu guzle ama iyi nemlendirmiyo saçı cok kuru bir yag,normal
4,Hoşuma gitti ama sertleştiriyor,normal
5,Saçıma ısı kullandığım için aldım şuanlık ortalama bi etkisi var,normal
5,kokusu çok güzel. başarılı bir ürün ağırlık yapmıyor saçlarıda güzel nemlendirdiğini düşünüyorum,normal
5,saçlarıma çok iyi geldi tararken dökülmeyi önlüyor ve harika kokuyor,normal
5,"saçım çok elektrikleniyor,kabarıyor. Bu ürün o kadar iyi geldi ki. Yumuşacık yapıyor, patlatıyor ve oldukça da bereketli",normal
5,Kızım için aldım saçlar soluk görünüyordu resmen çok parlak oldu,normal
3,"Saçı güzel açıyor ,daha önce de kullanmıştım .Yıpranmasını da azaltıyor . Ancak o kokusunu ne yapmışsınız 🙄 eski kokusu ile ilgisi yok midem bulanıyor kullanıyorken , bir daha almam (sadece kokusu nedeniyle)",normal
5,Çok iyi saçları koruyor düzleştirici öncesi kullanıyorum,normal
3,Kokusu iyi ben saçımı saçı kurutma makinesiyle kurutmadan önce sıkıyorum gayet iyi koruyor lakin sonrasında yumuşaklığı pek istediğim gibi vermedi,normal
5,çok süt kokuyor ama hemen koku gidiyor yumuşak ve güzel yapıyor idare eder,normal
4,çok güzel kokuyo çok fazla sıkınca kötü kokuya ama onu yayınca güzel çok güzel koruyo 2. alisim,normal
2,Saç dibimde sivilce yaptı,normal
3,2.giymeden sonra iç derisi soyulmaya basladı. Ama genel olarak rahat ve şık. FP ürünü 😊,normal
2,Accayip güzel duruyor fakatttt topuk yamuk geldi ve topuk kısmında hatalı yeri vardı iade etmek zorunda kaldım,normal
4,topugu gorundugunden daha uzun ve not talebim dikkate alınmamıştı onun dışında rengi iyi ve kendi ayak numaranızın 0.5 küçüğü gibi düşünün,normal
4,gayet güzel ama biraz sert geldi bana ayağımı da hafif sıktı sadece denedim henüz kullanmadım,normal
1,"Arkası kayıyor ve çıkıyor, bu da yürümeyi çom zorlaştırıyor.",normal
5,Çok detaylı temizliyor. 3 farklı mod diş etine göre ayarlanabiliyor. ve fırçası çok yumuşak. Umarım şarj konusunda sorun yaratmaz.,normal
5,Normalde bu tarz şarjlı diş fırçaları 2 dakikada 1 uyarı amaçlı çift titreşim yapar ancak bu diş fırçası 2 dakika dolmadan hatta 1 dakika bile olmadan uyarı veriyor tek sıkıntısı bu sanırım bu yüzden diğerlerine nazaran uygun fiyatlıydı aynısını anneme marketten almıştım 100 TL ucuza onu da ayrı problemi var onun dışında üç kademeli yavaş orta ve hızlı şekilde çalışıyor şarja düşmüş hocasından zaten memnunum benim için tek dezavantajı 1 dakikalık dolmadan uyarı veriyor olması,normal
5,Beklediğimden hızlı geldi. 1 gün şarj önerilse de 3 saat içerisinde kullanılabiliyor. Kullandıktan sonra normal diş fırçalarından farkını çok net hissediyoesunuz,normal
5,"Şarj olurken ışığı yanmıyor benimkinin. O yüzden şarj olduğundan emin olamıyorum. Ama onun dışında çok iyi, memnunum.",normal
4,Aşırı güzel bir ürün ama şu deliklerine sıvı girdiği zaman örneğin dişimi fırçaladım macunun beyaz rengi o delikleri dolduruyor ve kötü gözüküyor.,normal
5,Çok beğendim. Dişlerimin ön kısımlarında tartar var. Kahverengi lekelerim var yani. Onların açılması konusunda etkili olduğunu düşünüyorum.,normal
3,Alırken tereddütte kalmıştım silgi gibi soyuluyor diyorlardı ama zoretanin kullandığım için düzgün bir güneş kremi bulamadım aldım sürmeden önce çalkalayıp sürün biraz sıvı yapısı var laroche gibi beyazlık biraz bırakıyor her günes kreminde olan bir sorun ve kokusunu hiç beğenmedim ama kullanacagım etkşsş önemli,normal
4,Güzel ama yüzde soyulma yaptı koruması iyi,normal
5,Mart ayında aldım ekim ayına kadar kullandım günlük yüz ve boyun bölgeme sürdüm bu yaz güneş lekem olmadı tam tersi olan lekelerim nerdeyse kayboldu ama keşke fiyatıda biraz uygun olsada zorlanmadan devamlı alıp kullansak,normal
5,İlk başta yapış yapış olcak gibi geliyor ama daha sonrasında düzeliyor yapısı güzel nemli tutuyor cildin ışıl ışıl oluyor,normal
5,Lekeler için çok güzel bir güneş kremi severek kullanıyorum boyutu da normal kremlere göre büyük uzun süre gidiyor,normal
5,"yüzümde asla ağırlık, yağlandırma yapmadı bugüne kadar ne kullandıysam hep yağlanıyordu suratım bu güneş kreminden çok memnun kaldım yine alırım. (yağlı/karma ciltliyim)",normal
5,gayet memnunum gozlerimi yakma gibi bi problem yasamiyorum ben ki goz altima da suruyorum herkeste ayni mi olur bilemem nemlendirmesi de gayet iyi benim tek rahatsiz oldugum sey surdukten sonra cildimin biraz yapis yapis olmasi o da zaten makyaj vs yapmadigim icin beni cok rahatsiz etmiyor bi tik beyazlik oluyor ilk surdugunuzde ama sonradan geciyor boyutu baya buyuk uzun sure goturur bilginize askolar,normal
5,"Ne katı ne de çok sıvı. Tam yoğunluğunda, yüzüme çok iyi geliyor. Bir çok marka denedim fakat yine en iyisi bu. 💯",normal
4,Ürün güzel boyutu çok ideal ama bazen yüzümde dökülme yapıyor soyuluyor neyden kaynaklı bilmiyorum ama ciltte ağırlık yapmıyor. Bu kadar para verip soyulması üzücü.,normal
3,Beyazlık bırakıyor ciddi anlamda.,normal
4,ürün yapısı çok güzel tek kusuru kokusu çok agır,normal
5,Ben çok beğendim daha önce de kullanıyordum harika bence yüzüm kuru ve yüzümde kahverengi lekeler vardı bir süre kullndıktam sonra iyi geldi yada bana öyle geliyor ama herkesin alması gereken bir güneş kremi 💗,normal
4,saçlarımı yumuşacık yapıyor etkisini gördüm fakat kepeklenme yapıyor,normal
5,İki haftadır kullanıyorum dökülme azaldı sevdim,normal
5,3 haftadır hergün kullanıyorum ve yeni yeni etkisini göremeye başladım. Küçük küçğk saçlarımın çıktığını görebiliyorum,normal
5,"Faydasını gördüğüm hep kullandığım ürün,dökülmeye iyi geliyor saç çıkarıyor,biberiye vs denemeye cesaretim yok işe yararmı bilmem",normal
5,güzel kokuyor ama ben faydasını göremedim,normal
4,bebek saçlarımı çok iyi uzattı tavsiye ederim,normal
3,Saçlarımı fazla uzatma etkisini göremedim ama ferahlatıyor ve yumuşatıyor diğim ;),normal
